Sample_ID,Moisture (%),Time (day),Temperature (°C),pH,Risk_Level,Rule_Source,Data_Type
P0001,26.5,6,25.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0002,28.5,6,25.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0003,29.5,6,25.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0004,30.5,6,25.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0005,31.0,6,25.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0006,31.0,6,25.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0007,31.5,6,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0008,33.0,6,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0009,34.5,6,25.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0010,35.0,6,25.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0011,25.5,6,25.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0012,25.5,6,25.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0013,27.0,6,25.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0014,27.5,6,25.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0015,28.0,6,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0016,32.5,6,25.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0017,33.0,6,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0018,27.0,6,26.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0019,28.5,6,26.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0020,29.0,6,26.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0021,29.5,6,26.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0022,30.5,6,26.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0023,31.0,6,26.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0024,32.5,6,26.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0025,33.0,6,26.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0026,34.0,6,26.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0027,26.0,6,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0028,26.5,6,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0029,27.0,6,26.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0030,28.0,6,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0031,29.5,6,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0032,30.0,6,26.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0033,30.5,6,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0034,32.0,6,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0035,33.0,6,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0036,33.5,6,26.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0037,33.5,6,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0038,35.0,6,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0039,26.5,6,27.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0040,26.5,6,27.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0041,27.5,6,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0042,27.5,6,27.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0043,28.5,6,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0044,28.5,6,27.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0045,29.0,6,27.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0046,31.0,6,27.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0047,33.5,6,27.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0048,25.5,6,27.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0049,26.0,6,27.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0050,29.5,6,27.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0051,33.0,6,27.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0052,33.0,6,27.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0053,34.0,6,27.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0054,35.0,6,27.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0055,25.5,6,28.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0056,26.5,6,28.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0057,29.0,6,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0058,31.0,6,28.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0059,31.0,6,28.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0060,34.0,6,28.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0061,34.5,6,28.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0062,34.5,6,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0063,25.5,6,28.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0064,28.5,6,28.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0065,26.0,6,29.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0066,26.0,6,29.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0067,29.0,6,29.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0068,30.0,6,29.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0069,31.5,6,29.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0070,32.5,6,29.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0071,33.5,6,29.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0072,34.5,6,29.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0073,35.0,6,29.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0074,25.5,6,29.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0075,26.0,6,29.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0076,27.0,6,29.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0077,27.5,6,29.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0078,28.5,6,29.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0079,28.5,6,29.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0080,29.5,6,29.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0081,29.5,6,29.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0082,33.0,6,29.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0083,34.0,6,29.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0084,34.5,6,29.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0085,25.5,6,30.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0086,26.5,6,30.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0087,27.0,6,30.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0088,29.0,6,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0089,30.0,6,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0090,32.0,6,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0091,33.0,6,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0092,34.5,6,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0093,27.0,7,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0094,27.5,7,25.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0095,29.5,7,25.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0096,30.0,7,25.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0097,33.5,7,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0098,26.0,7,25.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0099,28.5,7,25.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0100,29.0,7,25.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0101,30.0,7,25.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
